Test Sequence 1 :	[q(), q()]
Test Sequence 2 :	[q(), d()]
Test Sequence 3 :	[n(), n(), d()]
Test Sequence 4 :	[n(), n(), n()]
Test Sequence 5 :	[n(), d(), d()]
Test Sequence 6 :	[n(), d(), n()]
Test Sequence 7 :	[n(), q(), q()]
Test Sequence 8 :	[n(), q(), d()]
Test Sequence 9 :	[d(), d(), q()]
Test Sequence 10 :	[d(), d(), d()]
Test Sequence 11 :	[d(), q(), q()]
Test Sequence 12 :	[d(), q(), d()]
Test Sequence 13 :	[d(), n(), q(), q()]
Test Sequence 14 :	[d(), n(), q(), d()]
Test Sequence 15 :	[d(), n(), n(), q()]
Test Sequence 16 :	[d(), n(), n(), d()]
Test Sequence 17 :	[d(), n(), d(), q()]
Test Sequence 18 :	[d(), n(), d(), d()]
